AnimalsInfo,Species,Breed,Production category,Sex,Date of Birth,Animal ID of Father,Animal ID of Mother,Original Owner Name,Original Owner Mobile ,Original Owner Location _ Lattitude,Original Owner Location _ Longitude
KHM0001000048,Cattle,,,,,,,,,,
KHM0001000049,Cattle,,,,,,,,,,
KHM0001000050,Cattle,,,,,,,,,,
KHM0001000051,Cattle,,,,,,,,,,
KHM0001000052,Cattle,,,,,,,,,,
KHM0001000053,Cattle,,,,,,,,,,
KHM0001000054,Cattle,,,,,,,,,,
KHM0001000055,Cattle,,,,,,,,,,
KHM0001000056,Cattle,,,,,,,,,,
KHM0001000057,Cattle,,,,,,,,,,
KHM0001000058,Cattle,,,,,,,,,,
KHM0001000059,Cattle,,,,,,,,,,
KHM0001000060,Cattle,,,,,,,,,,
KHM0001000061,Cattle,,,,,,,,,,
KHM0001000062,Cattle,,,,,,,,,,
KHM0001000063,Cattle,,,,,,,,,,
KHM0001000064,Cattle,,,,,,,,,,
KHM0001000065,Cattle,,,,,,,,,,
KHM0001000066,Cattle,,,,,,,,,,
KHM0001000067,Cattle,,,,,,,,,,
KHM0001000068,Cattle,,,,,,,,,,
KHM0001000069,Cattle,,,,,,,,,,
KHM0001000070,Cattle,,,,,,,,,,
KHM0001000071,Cattle,,,,,,,,,,
KHM0001000072,Cattle,,,,,,,,,,
KHM0001000073,Cattle,,,,,,,,,,
KHM0001000074,Cattle,,,,,,,,,,
KHM0001000075,Cattle,,,,,,,,,,
KHM0001000076,Cattle,,,,,,,,,,
KHM0001000077,Cattle,,,,,,,,,,
KHM0001000078,Cattle,,,,,,,,,,
KHM0001000079,Cattle,,,,,,,,,,
KHM0001000080,Cattle,,,,,,,,,,
KHM0001000081,Cattle,,,,,,,,,,
KHM0001000082,Cattle,,,,,,,,,,
KHM0001000083,Cattle,,,,,,,,,,
KHM0001000084,Cattle,,,,,,,,,,
KHM0001000085,Cattle,,,,,,,,,,
KHM0001000086,Cattle,,,,,,,,,,
KHM0001000087,Cattle,,,,,,,,,,
KHM0001000088,Cattle,,,,,,,,,,
KHM0001000089,Cattle,,,,,,,,,,
KHM0001000090,Cattle,,,,,,,,,,
KHM0001000091,Cattle,,,,,,,,,,
KHM0001000092,Cattle,,,,,,,,,,
KHM0001000093,Cattle,,,,,,,,,,
KHM0001000094,Cattle,,,,,,,,,,
KHM0001000095,Cattle,,,,,,,,,,
KHM0001000096,Cattle,,,,,,,,,,
KHM0001000097,Cattle,,,,,,,,,,
KHM0001000098,Cattle,,,,,,,,,,
KHM0001000099,Cattle,,,,,,,,,,
KHM0001000100,Cattle,,,,,,,,,,
KHM0001000101,Cattle,,,,,,,,,,
KHM0001000102,Cattle,,,,,,,,,,
KHM0001000103,Cattle,,,,,,,,,,
KHM0001000104,Cattle,,,,,,,,,,
KHM0001000105,Cattle,,,,,,,,,,
KHM0001000106,Cattle,,,,,,,,,,
KHM0001000107,Cattle,,,,,,,,,,
KHM0001000108,Cattle,,,,,,,,,,
KHM0001000109,Cattle,,,,,,,,,,
KHM0001000110,Cattle,,,,,,,,,,
KHM0001000111,Cattle,,,,,,,,,,
KHM0001000112,Cattle,,,,,,,,,,
KHM0001000113,Cattle,,,,,,,,,,
KHM0001000114,Cattle,,,,,,,,,,
KHM0001000115,Cattle,,,,,,,,,,
KHM0001000116,Cattle,,,,,,,,,,
KHM0001000117,Cattle,,,,,,,,,,
KHM0001000118,Cattle,,,,,,,,,,
KHM0001000119,Cattle,,,,,,,,,,
KHM0001000120,Cattle,,,,,,,,,,
KHM0001000121,Cattle,,,,,,,,,,
KHM0001000122,Cattle,,,,,,,,,,
KHM0001000123,Cattle,,,,,,,,,,
KHM0001000124,Cattle,,,,,,,,,,
KHM0001000125,Cattle,,,,,,,,,,
KHM0001000126,Cattle,,,,,,,,,,
KHM0001000127,Cattle,,,,,,,,,,
KHM0001000128,Cattle,,,,,,,,,,
KHM0001000129,Cattle,,,,,,,,,,
KHM0001000130,Cattle,,,,,,,,,,
KHM0001000131,Cattle,,,,,,,,,,
KHM0001000132,Cattle,,,,,,,,,,
KHM0001000133,Cattle,,,,,,,,,,
KHM0001000134,Cattle,,,,,,,,,,
KHM0001000135,Cattle,,,,,,,,,,
KHM0001000136,Cattle,,,,,,,,,,
KHM0001000137,Cattle,,,,,,,,,,
KHM0001000138,Cattle,,,,,,,,,,
KHM0001000139,Cattle,,,,,,,,,,
KHM0001000140,Cattle,,,,,,,,,,
KHM0001000141,Cattle,,,,,,,,,,
KHM0001000142,Cattle,,,,,,,,,,
KHM0001000143,Cattle,,,,,,,,,,
KHM0001000144,Cattle,,,,,,,,,,
KHM0001000145,Cattle,,,,,,,,,,
KHM0001000146,Cattle,,,,,,,,,,
KHM0001000147,Cattle,,,,,,,,,,
KHM0001000148,Cattle,,,,,,,,,,
KHM0001000149,Cattle,,,,,,,,,,
KHM0001000150,Cattle,,,,,,,,,,
KHM0001000151,Cattle,,,,,,,,,,
KHM0001000152,Cattle,,,,,,,,,,
KHM0001000153,Cattle,,,,,,,,,,
KHM0001000154,Cattle,,,,,,,,,,
KHM0001000155,Cattle,,,,,,,,,,
KHM0001000156,Cattle,,,,,,,,,,
KHM0001000157,Cattle,,,,,,,,,,
KHM0001000158,Cattle,,,,,,,,,,
KHM0001000159,Cattle,,,,,,,,,,
KHM0001000160,Cattle,,,,,,,,,,
KHM0001000161,Cattle,,,,,,,,,,
KHM0001000162,Cattle,,,,,,,,,,
KHM0001000163,Cattle,,,,,,,,,,
KHM0001000164,Cattle,,,,,,,,,,
KHM0001000165,Cattle,,,,,,,,,,
KHM0001000166,Cattle,,,,,,,,,,
KHM0001000167,Cattle,,,,,,,,,,
KHM0001000168,Cattle,,,,,,,,,,
KHM0001000169,Cattle,,,,,,,,,,
KHM0001000170,Cattle,,,,,,,,,,
KHM0001000171,Cattle,,,,,,,,,,
KHM0001000172,Cattle,,,,,,,,,,
KHM0001000173,Cattle,,,,,,,,,,
KHM0001000174,Cattle,,,,,,,,,,
KHM0001000175,Cattle,,,,,,,,,,
KHM0001000176,Cattle,,,,,,,,,,
KHM0001000177,Cattle,,,,,,,,,,
KHM0001000178,Cattle,,,,,,,,,,
KHM0001000179,Cattle,,,,,,,,,,
KHM0001000180,Cattle,,,,,,,,,,
KHM0001000181,Cattle,,,,,,,,,,
KHM0001000182,Cattle,,,,,,,,,,
KHM0001000183,Cattle,,,,,,,,,,
KHM0001000184,Cattle,,,,,,,,,,
KHM0001000185,Cattle,,,,,,,,,,
KHM0001000186,Cattle,,,,,,,,,,
KHM0001000187,Cattle,,,,,,,,,,
KHM0001000188,Cattle,,,,,,,,,,
KHM0001000189,Cattle,,,,,,,,,,
KHM0001000190,Cattle,,,,,,,,,,
KHM0001000191,Cattle,,,,,,,,,,
KHM0001000192,Cattle,,,,,,,,,,
KHM0001000193,Cattle,,,,,,,,,,
KHM0001000194,Cattle,,,,,,,,,,
KHM0001000195,Cattle,,,,,,,,,,
KHM0001000196,Cattle,,,,,,,,,,
KHM0001000197,Cattle,,,,,,,,,,
KHM0001000198,Cattle,,,,,,,,,,
KHM0001000199,Cattle,,,,,,,,,,
KHM0001000200,Cattle,,,,,,,,,,
KHM0001000201,Cattle,,,,,,,,,,
KHM0001000202,Cattle,,,,,,,,,,
KHM0001000203,Cattle,,,,,,,,,,
KHM0001000204,Cattle,,,,,,,,,,
KHM0001000205,Cattle,,,,,,,,,,
KHM0001000206,Cattle,,,,,,,,,,
KHM0001000207,Cattle,,,,,,,,,,
KHM0001000208,Cattle,,,,,,,,,,
KHM0001000209,Cattle,,,,,,,,,,
KHM0001000210,Cattle,,,,,,,,,,
KHM0001000211,Cattle,,,,,,,,,,
KHM0001000212,Cattle,,,,,,,,,,
KHM0001000213,Cattle,,,,,,,,,,
KHM0001000214,Cattle,,,,,,,,,,
KHM0001000215,Cattle,,,,,,,,,,
KHM0001000216,Cattle,,,,,,,,,,
KHM0001000217,Cattle,,,,,,,,,,
KHM0001000218,Cattle,,,,,,,,,,
KHM0001000219,Cattle,,,,,,,,,,
KHM0001000220,Cattle,,,,,,,,,,
KHM0001000221,Cattle,,,,,,,,,,
KHM0001000222,Cattle,,,,,,,,,,
KHM0001000223,Cattle,,,,,,,,,,
KHM0001000224,Cattle,,,,,,,,,,
KHM0001000225,Cattle,,,,,,,,,,
KHM0001000226,Cattle,,,,,,,,,,
KHM0001000227,Cattle,,,,,,,,,,
KHM0001000228,Cattle,,,,,,,,,,
KHM0001000229,Cattle,,,,,,,,,,
KHM0001000230,Cattle,,,,,,,,,,
KHM0001000231,Cattle,,,,,,,,,,
KHM0001000232,Cattle,,,,,,,,,,
KHM0001000233,Cattle,,,,,,,,,,
KHM0001000234,Cattle,,,,,,,,,,
KHM0001000235,Cattle,,,,,,,,,,
KHM0001000236,Cattle,,,,,,,,,,
KHM0001000237,Cattle,,,,,,,,,,
KHM0001000238,Cattle,,,,,,,,,,
KHM0001000239,Cattle,,,,,,,,,,
KHM0001000240,Cattle,,,,,,,,,,
KHM0001000241,Cattle,,,,,,,,,,
KHM0001000242,Cattle,,,,,,,,,,
KHM0001000243,Cattle,,,,,,,,,,
KHM0001000244,Cattle,,,,,,,,,,
KHM0001000245,Cattle,,,,,,,,,,
KHM0001000246,Cattle,,,,,,,,,,
KHM0001000247,Cattle,,,,,,,,,,
KHM0001000248,Cattle,,,,,,,,,,
KHM0001000249,Cattle,,,,,,,,,,
KHM0001000250,Cattle,,,,,,,,,,
KHM0001000251,Cattle,,,,,,,,,,
KHM0001000252,Cattle,,,,,,,,,,
KHM0001000253,Cattle,,,,,,,,,,
KHM0001000254,Cattle,,,,,,,,,,
KHM0001000255,Cattle,,,,,,,,,,
KHM0001000256,Cattle,,,,,,,,,,
KHM0001000257,Cattle,,,,,,,,,,
KHM0001000258,Cattle,,,,,,,,,,
KHM0001000259,Cattle,,,,,,,,,,
KHM0001000260,Cattle,,,,,,,,,,
KHM0001000261,Cattle,,,,,,,,,,
KHM0001000262,Cattle,,,,,,,,,,
KHM0001000263,Cattle,,,,,,,,,,
KHM0001000264,Cattle,,,,,,,,,,
KHM0001000265,Cattle,,,,,,,,,,
KHM0001000266,Cattle,,,,,,,,,,
KHM0001000267,Cattle,,,,,,,,,,
KHM0001000268,Cattle,,,,,,,,,,
KHM0001000269,Cattle,,,,,,,,,,
KHM0001000270,Cattle,,,,,,,,,,
KHM0001000271,Cattle,,,,,,,,,,
KHM0001000272,Cattle,,,,,,,,,,
KHM0001000273,Cattle,,,,,,,,,,
KHM0001000274,Cattle,,,,,,,,,,
KHM0001000275,Cattle,,,,,,,,,,
KHM0001000276,Cattle,,,,,,,,,,
KHM0001000277,Cattle,,,,,,,,,,
KHM0001000278,Cattle,,,,,,,,,,
KHM0001000279,Cattle,,,,,,,,,,
KHM0001000280,Cattle,,,,,,,,,,
KHM0001000281,Cattle,,,,,,,,,,
KHM0001000282,Cattle,,,,,,,,,,
KHM0001000283,Cattle,,,,,,,,,,
KHM0001000284,Cattle,,,,,,,,,,
KHM0001000285,Cattle,,,,,,,,,,
KHM0001000286,Cattle,,,,,,,,,,
KHM0001000287,Cattle,,,,,,,,,,
KHM0001000288,Cattle,,,,,,,,,,
KHM0001000289,Cattle,,,,,,,,,,
KHM0001000290,Cattle,,,,,,,,,,
KHM0001000291,Cattle,,,,,,,,,,
KHM0001000292,Cattle,,,,,,,,,,
KHM0001000293,Cattle,,,,,,,,,,
KHM0001000294,Cattle,,,,,,,,,,
KHM0001000295,Cattle,,,,,,,,,,
KHM0001000296,Cattle,,,,,,,,,,
KHM0001000297,Cattle,,,,,,,,,,
KHM0001000298,Cattle,,,,,,,,,,
KHM0001000299,Cattle,,,,,,,,,,
KHM0001000300,Cattle,,,,,,,,,,
KHM0001000301,Cattle,,,,,,,,,,
KHM0001000302,Cattle,,,,,,,,,,
KHM0001000303,Cattle,,,,,,,,,,
KHM0001000304,Cattle,,,,,,,,,,
KHM0001000305,Cattle,,,,,,,,,,
KHM0001000306,Cattle,,,,,,,,,,
KHM0001000307,Cattle,,,,,,,,,,
KHM0001000308,Cattle,,,,,,,,,,
KHM0001000309,Cattle,,,,,,,,,,
KHM0001000310,Cattle,,,,,,,,,,
KHM0001000311,Cattle,,,,,,,,,,
KHM0001000312,Cattle,,,,,,,,,,
KHM0001000313,Cattle,,,,,,,,,,
KHM0001000314,Cattle,,,,,,,,,,
KHM0001000315,Cattle,,,,,,,,,,
KHM0001000316,Cattle,,,,,,,,,,
KHM0001000317,Cattle,,,,,,,,,,
KHM0001000318,Cattle,,,,,,,,,,
KHM0001000319,Cattle,,,,,,,,,,
KHM0001000320,Cattle,,,,,,,,,,
KHM0001000321,Cattle,,,,,,,,,,
KHM0001000322,Cattle,,,,,,,,,,
KHM0001000323,Cattle,,,,,,,,,,
KHM0001000324,Cattle,,,,,,,,,,
KHM0001000325,Cattle,,,,,,,,,,
KHM0001000326,Cattle,,,,,,,,,,
KHM0001000327,Cattle,,,,,,,,,,
KHM0001000328,Cattle,,,,,,,,,,
KHM0001000329,Cattle,,,,,,,,,,
KHM0001000330,Cattle,,,,,,,,,,
KHM0001000331,Cattle,,,,,,,,,,
KHM0001000332,Cattle,,,,,,,,,,
KHM0001000333,Cattle,,,,,,,,,,
KHM0001000334,Cattle,,,,,,,,,,
KHM0001000335,Cattle,,,,,,,,,,
KHM0001000336,Cattle,,,,,,,,,,
KHM0001000337,Cattle,,,,,,,,,,
KHM0001000338,Cattle,,,,,,,,,,
KHM0001000339,Cattle,,,,,,,,,,
KHM0001000340,Cattle,,,,,,,,,,
KHM0001000341,Cattle,,,,,,,,,,
KHM0001000342,Cattle,,,,,,,,,,
KHM0001000343,Cattle,,,,,,,,,,
KHM0001000344,Cattle,,,,,,,,,,
KHM0001000345,Cattle,,,,,,,,,,
KHM0001000346,Cattle,,,,,,,,,,
KHM0001000347,Cattle,,,,,,,,,,
KHM0001000348,Cattle,,,,,,,,,,
KHM0001000349,Cattle,,,,,,,,,,
KHM0001000350,Cattle,,,,,,,,,,
KHM0001000351,Cattle,,,,,,,,,,
KHM0001000352,Cattle,,,,,,,,,,
KHM0001000353,Cattle,,,,,,,,,,
KHM0001000354,Cattle,,,,,,,,,,
KHM0001000355,Cattle,,,,,,,,,,
KHM0001000356,Cattle,,,,,,,,,,
KHM0001000357,Cattle,,,,,,,,,,
KHM0001000358,Cattle,,,,,,,,,,
KHM0001000359,Cattle,,,,,,,,,,
KHM0001000360,Cattle,,,,,,,,,,
KHM0001000361,Cattle,,,,,,,,,,
KHM0001000362,Cattle,,,,,,,,,,
KHM0001000363,Cattle,,,,,,,,,,
KHM0001000364,Cattle,,,,,,,,,,
KHM0001000365,Cattle,,,,,,,,,,
KHM0001000366,Cattle,,,,,,,,,,
KHM0001000367,Cattle,,,,,,,,,,
KHM0001000368,Cattle,,,,,,,,,,
KHM0001000369,Cattle,,,,,,,,,,
KHM0001000370,Cattle,,,,,,,,,,
KHM0001000371,Cattle,,,,,,,,,,
KHM0001000372,Cattle,,,,,,,,,,
KHM0001000373,Cattle,,,,,,,,,,
KHM0001000374,Cattle,,,,,,,,,,
KHM0001000375,Cattle,,,,,,,,,,
KHM0001000376,Cattle,,,,,,,,,,
KHM0001000377,Cattle,,,,,,,,,,
KHM0001000378,Cattle,,,,,,,,,,
KHM0001000379,Cattle,,,,,,,,,,
KHM0001000380,Cattle,,,,,,,,,,
KHM0001000381,Cattle,,,,,,,,,,
KHM0001000382,Cattle,,,,,,,,,,
KHM0001000383,Cattle,,,,,,,,,,
KHM0001000384,Cattle,,,,,,,,,,
KHM0001000385,Cattle,,,,,,,,,,
KHM0001000386,Cattle,,,,,,,,,,
KHM0001000387,Cattle,,,,,,,,,,
KHM0001000388,Cattle,,,,,,,,,,
KHM0001000389,Cattle,,,,,,,,,,
KHM0001000390,Cattle,,,,,,,,,,
KHM0001000391,Cattle,,,,,,,,,,
KHM0001000392,Cattle,,,,,,,,,,
KHM0001000393,Cattle,,,,,,,,,,
KHM0001000394,Cattle,,,,,,,,,,
KHM0001000395,Cattle,,,,,,,,,,
KHM0001000396,Cattle,,,,,,,,,,
KHM0001000397,Cattle,,,,,,,,,,
KHM0001000398,Cattle,,,,,,,,,,
KHM0001000399,Cattle,,,,,,,,,,
KHM0001000400,Cattle,,,,,,,,,,
KHM0001000401,Cattle,,,,,,,,,,
KHM0001000402,Cattle,,,,,,,,,,
KHM0001000403,Cattle,,,,,,,,,,
KHM0001000404,Cattle,,,,,,,,,,
KHM0001000405,Cattle,,,,,,,,,,
KHM0001000406,Cattle,,,,,,,,,,
KHM0001000407,Cattle,,,,,,,,,,
KHM0001000408,Cattle,,,,,,,,,,
KHM0001000409,Cattle,,,,,,,,,,
KHM0001000410,Cattle,,,,,,,,,,
KHM0001000411,Cattle,,,,,,,,,,
KHM0001000412,Cattle,,,,,,,,,,
KHM0001000413,Cattle,,,,,,,,,,
KHM0001000414,Cattle,,,,,,,,,,
KHM0001000415,Cattle,,,,,,,,,,
KHM0001000416,Cattle,,,,,,,,,,
KHM0001000417,Cattle,,,,,,,,,,
KHM0001000418,Cattle,,,,,,,,,,
KHM0001000419,Cattle,,,,,,,,,,
KHM0001000420,Cattle,,,,,,,,,,
KHM0001000421,Cattle,,,,,,,,,,
KHM0001000422,Cattle,,,,,,,,,,
KHM0001000423,Cattle,,,,,,,,,,
KHM0001000424,Cattle,,,,,,,,,,
KHM0001000425,Cattle,,,,,,,,,,
KHM0001000426,Cattle,,,,,,,,,,
KHM0001000427,Cattle,,,,,,,,,,
KHM0001000428,Cattle,,,,,,,,,,
KHM0001000429,Cattle,,,,,,,,,,
KHM0001000430,Cattle,,,,,,,,,,
KHM0001000431,Cattle,,,,,,,,,,
KHM0001000432,Cattle,,,,,,,,,,
KHM0001000433,Cattle,,,,,,,,,,
KHM0001000434,Cattle,,,,,,,,,,
KHM0001000435,Cattle,,,,,,,,,,
KHM0001000436,Cattle,,,,,,,,,,
KHM0001000437,Cattle,,,,,,,,,,
KHM0001000438,Cattle,,,,,,,,,,
KHM0001000439,Cattle,,,,,,,,,,
KHM0001000440,Cattle,,,,,,,,,,
KHM0001000441,Cattle,,,,,,,,,,
KHM0001000442,Cattle,,,,,,,,,,
KHM0001000443,Cattle,,,,,,,,,,
KHM0001000444,Cattle,,,,,,,,,,
KHM0001000445,Cattle,,,,,,,,,,
KHM0001000446,Cattle,,,,,,,,,,
KHM0001000447,Cattle,,,,,,,,,,
KHM0001000448,Cattle,,,,,,,,,,
KHM0001000449,Cattle,,,,,,,,,,
KHM0001000450,Cattle,,,,,,,,,,
KHM0001000451,Cattle,,,,,,,,,,
KHM0001000452,Cattle,,,,,,,,,,
KHM0001000453,Cattle,,,,,,,,,,
KHM0001000454,Cattle,,,,,,,,,,
KHM0001000455,Cattle,,,,,,,,,,
KHM0001000456,Cattle,,,,,,,,,,
KHM0001000457,Cattle,,,,,,,,,,
KHM0001000458,Cattle,,,,,,,,,,
KHM0001000459,Cattle,,,,,,,,,,
KHM0001000460,Cattle,,,,,,,,,,
KHM0001000461,Cattle,,,,,,,,,,
KHM0001000462,Cattle,,,,,,,,,,
KHM0001000463,Cattle,,,,,,,,,,
KHM0001000464,Cattle,,,,,,,,,,
KHM0001000465,Cattle,,,,,,,,,,
KHM0001000466,Cattle,,,,,,,,,,
KHM0001000467,Cattle,,,,,,,,,,
KHM0001000468,Cattle,,,,,,,,,,
KHM0001000469,Cattle,,,,,,,,,,
KHM0001000470,Cattle,,,,,,,,,,
KHM0001000471,Cattle,,,,,,,,,,
KHM0001000472,Cattle,,,,,,,,,,
KHM0001000473,Cattle,,,,,,,,,,
KHM0001000474,Cattle,,,,,,,,,,
KHM0001000475,Cattle,,,,,,,,,,
KHM0001000476,Cattle,,,,,,,,,,
KHM0001000477,Cattle,,,,,,,,,,
KHM0001000478,Cattle,,,,,,,,,,
KHM0001000479,Cattle,,,,,,,,,,
KHM0001000480,Cattle,,,,,,,,,,
KHM0001000481,Cattle,,,,,,,,,,
KHM0001000482,Cattle,,,,,,,,,,
KHM0001000483,Cattle,,,,,,,,,,
KHM0001000484,Cattle,,,,,,,,,,
KHM0001000485,Cattle,,,,,,,,,,
KHM0001000486,Cattle,,,,,,,,,,
KHM0001000487,Cattle,,,,,,,,,,
KHM0001000488,Cattle,,,,,,,,,,
KHM0001000489,Cattle,,,,,,,,,,
KHM0001000490,Cattle,,,,,,,,,,
KHM0001000491,Cattle,,,,,,,,,,
KHM0001000492,Cattle,,,,,,,,,,
KHM0001000493,Cattle,,,,,,,,,,
KHM0001000494,Cattle,,,,,,,,,,
KHM0001000495,Cattle,,,,,,,,,,
KHM0001000496,Cattle,,,,,,,,,,
KHM0001000497,Cattle,,,,,,,,,,
KHM0001000498,Cattle,,,,,,,,,,
KHM0001000499,Cattle,,,,,,,,,,
KHM0001000500,Cattle,,,,,,,,,,
KHM0001000501,Cattle,,,,,,,,,,
KHM0001000502,Cattle,,,,,,,,,,
KHM0001000503,Cattle,,,,,,,,,,
KHM0001000504,Cattle,,,,,,,,,,
KHM0001000505,Cattle,,,,,,,,,,
KHM0001000506,Cattle,,,,,,,,,,
KHM0001000507,Cattle,,,,,,,,,,
KHM0001000508,Cattle,,,,,,,,,,
KHM0001000509,Cattle,,,,,,,,,,
KHM0001000510,Cattle,,,,,,,,,,
KHM0001000511,Cattle,,,,,,,,,,
KHM0001000512,Cattle,,,,,,,,,,
KHM0001000513,Cattle,,,,,,,,,,
KHM0001000514,Cattle,,,,,,,,,,
KHM0001000515,Cattle,,,,,,,,,,
KHM0001000516,Cattle,,,,,,,,,,
KHM0001000517,Cattle,,,,,,,,,,
KHM0001000518,Cattle,,,,,,,,,,
KHM0001000519,Cattle,,,,,,,,,,
KHM0001000520,Cattle,,,,,,,,,,
KHM0001000521,Cattle,,,,,,,,,,
KHM0001000522,Cattle,,,,,,,,,,
KHM0001000523,Cattle,,,,,,,,,,
KHM0001000524,Cattle,,,,,,,,,,
KHM0001000525,Cattle,,,,,,,,,,
KHM0001000526,Cattle,,,,,,,,,,
KHM0001000527,Cattle,,,,,,,,,,
KHM0001000528,Cattle,,,,,,,,,,
KHM0001000529,Cattle,,,,,,,,,,
KHM0001000530,Cattle,,,,,,,,,,
KHM0001000531,Cattle,,,,,,,,,,
KHM0001000532,Cattle,,,,,,,,,,
KHM0001000533,Cattle,,,,,,,,,,
KHM0001000534,Cattle,,,,,,,,,,
KHM0001000535,Cattle,,,,,,,,,,
KHM0001000536,Cattle,,,,,,,,,,
KHM0001000537,Cattle,,,,,,,,,,
KHM0001000538,Cattle,,,,,,,,,,
KHM0001000539,Cattle,,,,,,,,,,
KHM0001000540,Cattle,,,,,,,,,,
KHM0001000541,Cattle,,,,,,,,,,
KHM0001000542,Cattle,,,,,,,,,,
KHM0001000543,Cattle,,,,,,,,,,
KHM0001000544,Cattle,,,,,,,,,,
KHM0001000545,Cattle,,,,,,,,,,
KHM0001000546,Cattle,,,,,,,,,,
KHM0001000547,Cattle,,,,,,,,,,
KHM0001000548,Cattle,,,,,,,,,,
KHM0001000549,Cattle,,,,,,,,,,
KHM0001000550,Cattle,,,,,,,,,,
KHM0001000551,Cattle,,,,,,,,,,
KHM0001000552,Cattle,,,,,,,,,,
KHM0001000553,Cattle,,,,,,,,,,
KHM0001000554,Cattle,,,,,,,,,,
KHM0001000555,Cattle,,,,,,,,,,
KHM0001000556,Cattle,,,,,,,,,,
KHM0001000557,Cattle,,,,,,,,,,
KHM0001000558,Cattle,,,,,,,,,,
KHM0001000559,Cattle,,,,,,,,,,
KHM0001000560,Cattle,,,,,,,,,,
KHM0001000561,Cattle,,,,,,,,,,
KHM0001000562,Cattle,,,,,,,,,,
KHM0001000563,Cattle,,,,,,,,,,
KHM0001000564,Cattle,,,,,,,,,,
KHM0001000565,Cattle,,,,,,,,,,
KHM0001000566,Cattle,,,,,,,,,,
KHM0001000567,Cattle,,,,,,,,,,
KHM0001000568,Cattle,,,,,,,,,,
KHM0001000569,Cattle,,,,,,,,,,
KHM0001000570,Cattle,,,,,,,,,,
KHM0001000571,Cattle,,,,,,,,,,
KHM0001000572,Cattle,,,,,,,,,,
KHM0001000573,Cattle,,,,,,,,,,
KHM0001000574,Cattle,,,,,,,,,,
KHM0001000575,Cattle,,,,,,,,,,
KHM0001000576,Cattle,,,,,,,,,,
KHM0001000577,Cattle,,,,,,,,,,
KHM0001000578,Cattle,,,,,,,,,,
KHM0001000579,Cattle,,,,,,,,,,
KHM0001000580,Cattle,,,,,,,,,,
KHM0001000581,Cattle,,,,,,,,,,
KHM0001000582,Cattle,,,,,,,,,,
KHM0001000583,Cattle,,,,,,,,,,
